Title,Top ten European-Union countries of domicile (excluding the UK) in 2016/17 for HE student enrolments,,,
Location,UK,,,
Time period,2012/13 to 2016/17,,,
Data source,HESA,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/sfr247/figure-10,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/sfr247/figure-10.csv,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,
Code page,ISO 8859-1,,,
Last updated,Jan-18,,,
,,,,
Country of domicile,Country of HE provider,First year marker,Academic year,Student count
Cyprus (European Union),Wales,All,2016/17,435.000
Cyprus (European Union),Wales,First year,2015/16,170.000
Cyprus (European Union),Wales,Other years,2015/16,185.000
Cyprus (European Union),Wales,All,2015/16,355.000
Cyprus (European Union),Wales,First year,2014/15,140.000
Cyprus (European Union),Wales,Other years,2014/15,145.000
Cyprus (European Union),Wales,All,2014/15,280.000
Cyprus (European Union),Wales,First year,2013/14,115.000
Cyprus (European Union),Wales,Other years,2013/14,95.000
Cyprus (European Union),Wales,All,2013/14,210.000
Cyprus (European Union),Wales,First year,2012/13,75.000
Cyprus (European Union),Wales,Other years,2012/13,85.000
Cyprus (European Union),Wales,All,2012/13,160.000
Czech Republic,All,All,2016/17,2115.000
Czech Republic,All,First year,2016/17,1050.000
Czech Republic,All,Other years,2016/17,1070.000
Czech Republic,All,All,2015/16,1705.000
Czech Republic,All,First year,2015/16,840.000
Czech Republic,All,Other years,2015/16,865.000
Czech Republic,All,All,2014/15,1405.000
Czech Republic,All,First year,2014/15,640.000
Czech Republic,All,Other years,2014/15,760.000
Czech Republic,All,All,2013/14,1315.000
Czech Republic,All,First year,2013/14,585.000
Czech Republic,All,Other years,2013/14,735.000
Czech Republic,All,All,2012/13,1260.000
Czech Republic,All,First year,2012/13,575.000
Czech Republic,All,Other years,2012/13,680.000
Czech Republic,England,First year,2016/17,790.000
Czech Republic,England,Other years,2016/17,780.000
Czech Republic,England,All,2016/17,1570.000
Czech Republic,England,First year,2015/16,660.000
Czech Republic,England,Other years,2015/16,595.000
Czech Republic,England,All,2015/16,1255.000
Czech Republic,England,First year,2014/15,465.000
Czech Republic,England,Other years,2014/15,530.000
Czech Republic,England,All,2014/15,995.000
Czech Republic,England,First year,2013/14,440.000
Czech Republic,England,Other years,2013/14,525.000
Czech Republic,England,All,2013/14,965.000
Czech Republic,England,First year,2012/13,420.000
Czech Republic,England,Other years,2012/13,505.000
Czech Republic,England,All,2012/13,925.000
Czech Republic,Northern Ireland,First year,2016/17,5.000
Czech Republic,Northern Ireland,Other years,2016/17,0.000
Czech Republic,Northern Ireland,All,2016/17,10.000
Czech Republic,Northern Ireland,First year,2015/16,5.000
Czech Republic,Northern Ireland,Other years,2015/16,0.000
Czech Republic,Northern Ireland,All,2015/16,5.000
Czech Republic,Northern Ireland,First year,2014/15,0.000
Czech Republic,Northern Ireland,Other years,2014/15,0.000
Czech Republic,Northern Ireland,All,2014/15,0.000
Czech Republic,Northern Ireland,First year,2013/14,0.000
Czech Republic,Northern Ireland,Other years,2013/14,0.000
Czech Republic,Northern Ireland,All,2013/14,0.000
Czech Republic,Northern Ireland,First year,2012/13,0.000
Czech Republic,Northern Ireland,Other years,2012/13,0.000
Czech Republic,Northern Ireland,All,2012/13,0.000
Czech Republic,Scotland,First year,2016/17,165.000
Czech Republic,Scotland,Other years,2016/17,260.000
Czech Republic,Scotland,All,2016/17,425.000
Czech Republic,Scotland,First year,2015/16,130.000
Czech Republic,Scotland,Other years,2015/16,255.000
Czech Republic,Scotland,All,2015/16,390.000
Czech Republic,Scotland,First year,2014/15,160.000
Czech Republic,Scotland,Other years,2014/15,210.000
Czech Republic,Scotland,All,2014/15,370.000
Czech Republic,Scotland,First year,2013/14,130.000
Czech Republic,Scotland,Other years,2013/14,185.000
Czech Republic,Scotland,All,2013/14,315.000
Czech Republic,Scotland,First year,2012/13,140.000
Czech Republic,Scotland,Other years,2012/13,160.000
Czech Republic,Scotland,All,2012/13,300.000
Czech Republic,Wales,First year,2016/17,85.000
Czech Republic,Wales,Other years,2016/17,30.000
Czech Republic,Wales,All,2016/17,115.000
Czech Republic,Wales,First year,2015/16,45.000
Czech Republic,Wales,Other years,2015/16,10.000
Czech Republic,Wales,All,2015/16,55.000
Czech Republic,Wales,First year,2014/15,20.000
Czech Republic,Wales,Other years,2014/15,20.000
Czech Republic,Wales,All,2014/15,40.000
Czech Republic,Wales,First year,2013/14,15.000
Czech Republic,Wales,Other years,2013/14,25.000
Czech Republic,Wales,All,2013/14,40.000
Czech Republic,Wales,First year,2012/13,15.000
Czech Republic,Wales,Other years,2012/13,20.000
Czech Republic,Wales,All,2012/13,35.000
Denmark,All,All,2016/17,1395.000
Denmark,All,First year,2016/17,715.000
Denmark,All,Other years,2016/17,680.000
Denmark,All,All,2015/16,1320.000
Denmark,All,First year,2015/16,680.000
Denmark,All,Other years,2015/16,640.000
Denmark,All,All,2014/15,1360.000
Denmark,All,First year,2014/15,725.000
Denmark,All,Other years,2014/15,635.000
